# annotations CSV — auto-generated by tests/tools/gen_annotations_csv.py
# Format: addr_hex,name,notes
# notes column collects aliasing labels at the same address.
013096,Obj0E_Tails_Move,
0130A2,Obj0E_Tails_AnimationFinished,
0130D4,Obj0E_LogoTop,
0130E6,Obj0E_LogoTop_Init,
01310A,Obj0E_NextRoutineSecondary,
013112,Obj0E_MaskingSprite,
013124,Obj0E_MaskingSprite_Init,
01314A,Obj0E_FlashingStar,
013160,Obj0E_FlashingStar_Init,
013190,Obj0E_FlashingStar_Wait,
01319E,Obj0E_FlashingStar_Move,
013200,Obj0E_SonicHand,
013214,Obj0E_SonicHand_Init,
013234,Obj0E_SonicHand_Move,
01324C,Obj0E_TailsHand,
013260,Obj0E_TailsHand_Init,
013280,Obj0E_TailsHand_Move,
013294,Obj0E_FallingStar,
0132A6,Obj0E_FallingStar_Init,
0132D2,Obj0E_FallingStar_Main,
0132F0,ObjC9,
013302,ObjC9_Init,
013344,ObjC9_Main,
